#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -32         0         0        33       -32      0.9326E-14       0.000    
      0       -31         0        -1        66       -32      0.1332E-13       0.000    
      0       -31         0         1       130       -30      0.1377E-13       0.000    
      0       -30         0        -2       163       -32      0.9992E-14      0.4000E-02
      0       -30         1         0       227       -30      0.1044E-13       0.000    
      1       -30         0         0       291       -30      0.1399E-13       0.000    
      0       -30         0         2       384       -28      0.1243E-13       0.000    
      0       -29         0        -3       417       -32      0.3419E-13      0.4000E-02
      0       -29         1        -1       481       -30      0.1066E-13       0.000    
      1       -29         0        -1       545       -30      0.1088E-13       0.000    
      0       -29         1         1       638       -28      0.9548E-14      0.4000E-02
      1       -29         0         1       731       -28      0.1155E-13       0.000    
      0       -29         0         3       851       -26      0.7772E-14       0.000    
      0       -28         0        -4       884       -32     -0.3741E-13       0.000    
      0       -28         1        -2       948       -30      0.1177E-13      0.4000E-02
      1       -28         0        -2      1012       -30      0.1110E-13       0.000    
      0       -28         2         0      1105       -28      0.1221E-13       0.000    
      1       -28         1         0      1198       -28      0.8660E-14      0.4001E-02
      2       -28         0         0      1291       -28      0.1354E-13       0.000    
      0       -28         1         2      1411       -26      0.6661E-14       0.000    
      1       -28         0         2      1531       -26      0.9770E-14       0.000    
      0       -28         0         4      1676       -24      0.1044E-13       0.000    
      0       -27         0        -5      1709       -32     -0.7416E-13       0.000    
      0       -27         1        -3      1773       -30     -0.4707E-13      0.4000E-02
      1       -27         0        -3      1837       -30      0.1243E-13       0.000    
      0       -27         2        -1      1930       -28     -0.7772E-15      0.4000E-02
      1       -27         1        -1      2023       -28      0.1066E-13       0.000    
      2       -27         0        -1      2116       -28      0.1088E-13       0.000    
      0       -27         2         1      2236       -26      0.1177E-13      0.4000E-02
      1       -27         1         1      2356       -26      0.1021E-13       0.000    
      2       -27         0         1      2476       -26      0.1066E-13      0.4001E-02
      0       -27         1         3      2621       -24      0.1155E-13       0.000    
      1       -27         0         3      2766       -24      0.6661E-14       0.000    
      0       -27         0         5      2934       -22      0.1465E-13       0.000    
      0       -26         0        -6      2967       -32      0.2036E-12      0.4000E-02
      0       -26         1        -4      3031       -30      0.6417E-13       0.000    
      1       -26         0        -4      3095       -30     -0.4674E-13       0.000    
      0       -26         2        -2      3188       -28     -0.1277E-13      0.4000E-02
      1       -26         1        -2      3281       -28      0.4663E-14      0.4000E-02
      2       -26         0        -2      3374       -28      0.1332E-13       0.000    
      0       -26         3         0      3494       -26      0.9326E-14      0.4001E-02
      1       -26         2         0      3614       -26      0.1354E-13      0.4000E-02
      2       -26         1         0      3734       -26      0.1066E-13       0.000    
      3       -26         0         0      3854       -26      0.8882E-14       0.000    
      0       -26         2         2      3999       -24      0.4441E-14      0.4000E-02
      1       -26         1         2      4144       -24      0.8216E-14       0.000    
      2       -26         0         2      4289       -24      0.1132E-13      0.4000E-02
      0       -26         1         4      4457       -22      0.7327E-14       0.000    
      1       -26         0         4      4625       -22      0.1155E-13       0.000    
      0       -26         0         6      4814       -20      0.6439E-14      0.4001E-02
      0       -25         0        -7      4847       -32      0.4696E-12       0.000    
      0       -25         1        -5      4911       -30      0.1330E-12       0.000    
      1       -25         0        -5      4975       -30      0.6461E-13       0.000    
      0       -25         2        -3      5068       -28      0.2376E-13      0.4000E-02
      1       -25         1        -3      5161       -28     -0.3841E-13      0.4000E-02
      2       -25         0        -3      5254       -28       0.000          0.4000E-02
      0       -25         3        -1      5374       -26      0.2665E-14       0.000    
      1       -25         2        -1      5494       -26      0.4441E-14      0.8001E-02
      2       -25         1        -1      5614       -26      0.1354E-13      0.4000E-02
      3       -25         0        -1      5734       -26      0.8216E-14       0.000    
      0       -25         3         1      5879       -24      0.1998E-14      0.4000E-02
      1       -25         2         1      6024       -24      0.1266E-13      0.4001E-02
      2       -25         1         1      6169       -24      0.1266E-13      0.4000E-02
      3       -25         0         1      6314       -24      0.7550E-14       0.000    
      0       -25         2         3      6482       -22      0.6439E-14      0.4000E-02
      1       -25         1         3      6650       -22      0.5107E-14       0.000    
      2       -25         0         3      6818       -22      0.1044E-13      0.4000E-02
      0       -25         1         5      7007       -20      0.1177E-13       0.000    
      1       -25         0         5      7196       -20      0.8216E-14       0.000    
      0       -25         0         7      7404       -18      0.7105E-14      0.4001E-02
      0       -24         0        -8      7437       -32      0.1399E-12       0.000    
      0       -24         1        -6      7501       -30     -0.3431E-13       0.000    
      1       -24         0        -6      7565       -30      0.1330E-12      0.4000E-02
      0       -24         2        -4      7658       -28      0.1472E-12       0.000    
      1       -24         1        -4      7751       -28      0.1688E-13      0.4000E-02
      2       -24         0        -4      7844       -28     -0.1088E-13      0.4000E-02
      0       -24         3        -2      7964       -26      0.5351E-13      0.4001E-02
      1       -24         2        -2      8084       -26     -0.3553E-14      0.8000E-02
      2       -24         1        -2      8204       -26      0.3331E-14      0.4000E-02
      3       -24         0        -2      8324       -26      0.1332E-13       0.000    
      0       -24         4         0      8469       -24      0.1954E-13      0.8001E-02
      1       -24         3         0      8614       -24     -0.5551E-15      0.4000E-02
      2       -24         2         0      8759       -24      0.8216E-14      0.8001E-02
      3       -24         1         0      8904       -24      0.9104E-14       0.000    
      4       -24         0         0      9049       -24      0.1221E-13       0.000    
      0       -24         3         2      9217       -22     -0.6661E-15      0.4000E-02
      1       -24         2         2      9385       -22      0.6217E-14      0.8000E-02
      2       -24         1         2      9553       -22      0.1066E-13      0.4001E-02
      3       -24         0         2      9721       -22      0.1110E-13       0.000    
      0       -24         2         4      9910       -20      0.5551E-14      0.4000E-02
      1       -24         1         4     10099       -20      0.6661E-14      0.4000E-02
      2       -24         0         4     10288       -20      0.6439E-14       0.000    
      0       -24         1         6     10496       -18      0.8438E-14       0.000    
      1       -24         0         6     10704       -18      0.1266E-13      0.4000E-02
      0       -24         0         8     10929       -16      0.7105E-14       0.000    
      0       -23         0        -9     10962       -32     -0.1235E-12       0.000    
