#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -10         0         0        11       -10      0.4663E-14       0.000    
      0        -9         0        -1        11       -10      0.2220E-14       0.000    
      0        -9         0         1        20        -8      0.3553E-14       0.000    
      0        -8         0        -2        11       -10      0.4441E-15       0.000    
      0        -8         1         0        20        -8      0.1110E-14       0.000    
      1        -8         0         0        20        -8      0.3775E-14       0.000    
      0        -8         0         2        27        -6      0.2220E-14       0.000    
      0        -7         0        -3        11       -10     -0.2220E-15       0.000    
      0        -7         1        -1        20        -8     -0.5551E-15       0.000    
      1        -7         0        -1        20        -8      0.1776E-14       0.000    
      0        -7         1         1        27        -6      0.8882E-15       0.000    
      1        -7         0         1        27        -6      0.2442E-14       0.000    
      0        -7         0         3        32        -4      0.1110E-14       0.000    
      0        -6         0        -4        11       -10      0.8882E-15       0.000    
      0        -6         1        -2        20        -8     -0.1776E-14       0.000    
      1        -6         0        -2        20        -8      0.2220E-15       0.000    
      0        -6         2         0        27        -6       0.000           0.000    
      1        -6         1         0        27        -6      0.1110E-14       0.000    
      2        -6         0         0        27        -6      0.3109E-14      0.4000E-02
      0        -6         1         2        32        -4       0.000           0.000    
      1        -6         0         2        32        -4      0.2442E-14       0.000    
      0        -6         0         4        35        -2      0.6661E-15       0.000    
      0        -5         0        -5        11       -10     -0.5440E-14       0.000    
      0        -5         1        -3        20        -8     -0.2442E-14       0.000    
      1        -5         0        -3        20        -8     -0.1332E-14       0.000    
      0        -5         2        -1        27        -6     -0.7772E-15       0.000    
      1        -5         1        -1        27        -6     -0.3331E-15       0.000    
      2        -5         0        -1        27        -6      0.1776E-14       0.000    
      0        -5         2         1        32        -4     -0.2220E-15       0.000    
      1        -5         1         1        32        -4      0.1110E-14       0.000    
      2        -5         0         1        32        -4      0.2442E-14       0.000    
      0        -5         1         3        35        -2     -0.2220E-15       0.000    
      1        -5         0         3        35        -2      0.1554E-14       0.000    
      0        -5         0         5        36         0      0.2220E-15       0.000    
      0        -4         0        -6        11       -10     -0.1110E-14       0.000    
      0        -4         1        -4        20        -8     -0.2998E-14       0.000    
      1        -4         0        -4        20        -8     -0.1998E-14       0.000    
      0        -4         2        -2        27        -6     -0.1998E-14       0.000    
      1        -4         1        -2        27        -6     -0.3331E-15       0.000    
      2        -4         0        -2        27        -6      0.2220E-15       0.000    
      0        -4         3         0        32        -4     -0.1443E-14       0.000    
      1        -4         2         0        32        -4       0.000          0.4000E-02
      2        -4         1         0        32        -4      0.1332E-14       0.000    
      3        -4         0         0        32        -4      0.2442E-14       0.000    
      0        -4         2         2        35        -2     -0.6661E-15       0.000    
      1        -4         1         2        35        -2      0.6661E-15       0.000    
      2        -4         0         2        35        -2      0.2442E-14       0.000    
      0        -4         1         4        36         0     -0.4441E-15       0.000    
      1        -4         0         4        36         0      0.4441E-15       0.000    
      0        -4         0         6        35         2       0.000           0.000    
      0        -3         0        -7        11       -10     -0.1998E-14       0.000    
      0        -3         1        -5        20        -8     -0.2998E-14       0.000    
      1        -3         0        -5        20        -8     -0.2665E-14       0.000    
      0        -3         2        -3        27        -6     -0.1443E-14       0.000    
      1        -3         1        -3        27        -6     -0.1665E-14       0.000    
      2        -3         0        -3        27        -6       0.000           0.000    
      0        -3         3        -1        32        -4     -0.2665E-14       0.000    
      1        -3         2        -1        32        -4     -0.9992E-15       0.000    
      2        -3         1        -1        32        -4      0.6661E-15       0.000    
      3        -3         0        -1        32        -4      0.1110E-14       0.000    
      0        -3         3         1        35        -2     -0.2442E-14       0.000    
      1        -3         2         1        35        -2     -0.5551E-15       0.000    
      2        -3         1         1        35        -2      0.1332E-14       0.000    
