#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -28         0         0        29       -28      0.6883E-14       0.000    
      0       -27         0        -1        58       -28      0.9104E-14       0.000    
      0       -27         0         1       114       -26      0.7994E-14       0.000    
      0       -26         0        -2       143       -28      0.1465E-13       0.000    
      0       -26         1         0       199       -26      0.9326E-14       0.000    
      1       -26         0         0       255       -26      0.8438E-14       0.000    
      0       -26         0         2       336       -24      0.1177E-13       0.000    
      0       -25         0        -3       365       -28     -0.7550E-14       0.000    
      0       -25         1        -1       421       -26      0.1354E-13       0.000    
      1       -25         0        -1       477       -26      0.9992E-14      0.4000E-02
      0       -25         1         1       558       -24      0.8216E-14       0.000    
      1       -25         0         1       639       -24      0.1066E-13       0.000    
      0       -25         0         3       743       -22      0.5995E-14       0.000    
      0       -24         0        -4       772       -28     -0.1543E-13       0.000    
      0       -24         1        -2       828       -26      0.3109E-14       0.000    
      1       -24         0        -2       884       -26      0.1421E-13       0.000    
      0       -24         2         0       965       -24      0.2887E-14      0.4000E-02
      1       -24         1         0      1046       -24      0.7327E-14       0.000    
      2       -24         0         0      1127       -24      0.1266E-13       0.000    
      0       -24         1         2      1231       -22      0.7772E-14       0.000    
      1       -24         0         2      1335       -22      0.9104E-14      0.4000E-02
      0       -24         0         4      1460       -20      0.4441E-14       0.000    
      0       -23         0        -5      1489       -28      0.5507E-13       0.000    
      0       -23         1        -3      1545       -26     -0.2776E-14       0.000    
      1       -23         0        -3      1601       -26      0.3553E-14       0.000    
      0       -23         2        -1      1682       -24     -0.8882E-15      0.4001E-02
      1       -23         1        -1      1763       -24      0.1066E-13       0.000    
      2       -23         0        -1      1844       -24      0.9104E-14       0.000    
      0       -23         2         1      1948       -22      0.5329E-14      0.4000E-02
      1       -23         1         1      2052       -22      0.1088E-13       0.000    
      2       -23         0         1      2156       -22      0.9326E-14       0.000    
      0       -23         1         3      2281       -20      0.4441E-15       0.000    
      1       -23         0         3      2406       -20      0.8660E-14      0.4000E-02
      0       -23         0         5      2550       -18      0.3553E-14       0.000    
      0       -22         0        -6      2579       -28      0.2045E-12       0.000    
      0       -22         1        -4      2635       -26      0.6595E-13       0.000    
      1       -22         0        -4      2691       -26     -0.1998E-14       0.000    
      0       -22         2        -2      2772       -24      0.2198E-13      0.4000E-02
      1       -22         1        -2      2853       -24      0.1110E-14       0.000    
      2       -22         0        -2      2934       -24      0.1132E-13      0.4001E-02
      0       -22         3         0      3038       -22     -0.2220E-14       0.000    
      1       -22         2         0      3142       -22      0.2887E-14      0.4000E-02
      2       -22         1         0      3246       -22      0.1199E-13       0.000    
      3       -22         0         0      3350       -22      0.7772E-14       0.000    
      0       -22         2         2      3475       -20      0.4441E-15      0.4000E-02
      1       -22         1         2      3600       -20      0.5107E-14       0.000    
      2       -22         0         2      3725       -20      0.1377E-13       0.000    
      0       -22         1         4      3869       -18      0.4441E-14      0.4000E-02
      1       -22         0         4      4013       -18      0.1110E-14       0.000    
      0       -22         0         6      4174       -16      0.4441E-14       0.000    
      0       -21         0        -7      4203       -28     -0.1713E-12       0.000    
      0       -21         1        -5      4259       -26     -0.5873E-13      0.4001E-02
      1       -21         0        -5      4315       -26      0.6595E-13       0.000    
      0       -21         2        -3      4396       -24      0.1021E-13       0.000    
      1       -21         1        -3      4477       -24     -0.4885E-14      0.4000E-02
      2       -21         0        -3      4558       -24      0.4441E-15       0.000    
      0       -21         3        -1      4662       -22     -0.1554E-14      0.4000E-02
      1       -21         2        -1      4766       -22      0.8882E-15      0.4000E-02
      2       -21         1        -1      4870       -22      0.1044E-13      0.4001E-02
      3       -21         0        -1      4974       -22      0.9548E-14       0.000    
      0       -21         3         1      5099       -20     -0.2887E-14      0.4000E-02
      1       -21         2         1      5224       -20      0.4663E-14       0.000    
      2       -21         1         1      5349       -20      0.9326E-14      0.4000E-02
      3       -21         0         1      5474       -20      0.9548E-14       0.000    
      0       -21         2         3      5618       -18     -0.1887E-14      0.4000E-02
      1       -21         1         3      5762       -18      0.7550E-14       0.000    
      2       -21         0         3      5906       -18      0.7327E-14       0.000    
      0       -21         1         5      6067       -16       0.000          0.4001E-02
      1       -21         0         5      6228       -16      0.4219E-14       0.000    
      0       -21         0         7      6404       -14      0.2442E-14       0.000    
      0       -20         0        -8      6433       -28     -0.1122E-12       0.000    
