#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -16         0         0        17       -16      0.4219E-14       0.000    
      0       -15         0        -1        34       -16      0.4663E-14       0.000    
      0       -15         0         1        66       -14      0.3775E-14       0.000    
      0       -14         0        -2        83       -16      0.2220E-15       0.000    
      0       -14         1         0       115       -14      0.3775E-14       0.000    
      1       -14         0         0       147       -14      0.4219E-14       0.000    
      0       -14         0         2       192       -12      0.1998E-14       0.000    
      0       -13         0        -3       209       -16      0.6217E-14       0.000    
      0       -13         1        -1       241       -14      0.8882E-15      0.4000E-02
      1       -13         0        -1       273       -14      0.3775E-14       0.000    
      0       -13         1         1       318       -12      0.1332E-14       0.000    
      1       -13         0         1       363       -12      0.3775E-14       0.000    
      0       -13         0         3       419       -10      0.3553E-14       0.000    
      0       -12         0        -4       436       -16      0.6661E-15       0.000    
      0       -12         1        -2       468       -14      0.5107E-14       0.000    
      1       -12         0        -2       500       -14      0.8882E-15       0.000    
      0       -12         2         0       545       -12      0.3331E-14      0.4000E-02
      1       -12         1         0       590       -12      0.3553E-14       0.000    
      2       -12         0         0       635       -12      0.2887E-14       0.000    
      0       -12         1         2       691       -10      0.2442E-14       0.000    
      1       -12         0         2       747       -10      0.2220E-14       0.000    
      0       -12         0         4       812        -8      0.3109E-14       0.000    
      0       -11         0        -5       829       -16     -0.1110E-15       0.000    
      0       -11         1        -3       861       -14     -0.2442E-14       0.000    
      1       -11         0        -3       893       -14      0.5995E-14       0.000    
      0       -11         2        -1       938       -12      0.3553E-14       0.000    
      1       -11         1        -1       983       -12      0.1998E-14       0.000    
      2       -11         0        -1      1028       -12      0.1776E-14       0.000    
      0       -11         2         1      1084       -10      0.2442E-14       0.000    
      1       -11         1         1      1140       -10      0.1776E-14      0.4000E-02
      2       -11         0         1      1196       -10      0.2442E-14       0.000    
      0       -11         1         3      1261        -8      0.4441E-15       0.000    
      1       -11         0         3      1326        -8      0.4441E-14       0.000    
      0       -11         0         5      1398        -6      0.1554E-14       0.000    
      0       -10         0        -6      1415       -16      0.1465E-13       0.000    
      0       -10         1        -4      1447       -14     -0.7772E-15       0.000    
      1       -10         0        -4      1479       -14     -0.2109E-14       0.000    
      0       -10         2        -2      1524       -12      0.2887E-14       0.000    
      1       -10         1        -2      1569       -12      0.1332E-14       0.000    
      2       -10         0        -2      1614       -12      0.1332E-14       0.000    
      0       -10         3         0      1670       -10      0.1554E-14       0.000    
      1       -10         2         0      1726       -10      0.1332E-14      0.4001E-02
