#    n1        m1        n2        m2     count        mJ       sum-1               T
      0        -5         0         0         6        -5      0.8882E-15       0.000    
      0        -4         0        -1         6        -5     -0.4441E-15       0.000    
      0        -4         0         1        10        -3      0.2220E-15       0.000    
      0        -3         0        -2         6        -5     -0.5551E-15       0.000    
      0        -3         1         0        10        -3     -0.2220E-15       0.000    
      1        -3         0         0        10        -3      0.6661E-15       0.000    
      0        -3         0         2        12        -1       0.000           0.000    
      0        -2         0        -3         6        -5      0.2220E-15       0.000    
      0        -2         1        -1        10        -3       0.000           0.000    
      1        -2         0        -1        10        -3      0.6661E-15       0.000    
      0        -2         1         1        12        -1       0.000           0.000    
      1        -2         0         1        12        -1      0.4441E-15       0.000    
      0        -2         0         3        12         1     -0.2220E-15       0.000    
      0        -1         0        -4         6        -5     -0.6661E-15       0.000    
      0        -1         1        -2        10        -3     -0.4441E-15       0.000    
      1        -1         0        -2        10        -3      0.2220E-15       0.000    
      0        -1         2         0        12        -1     -0.5551E-15       0.000    
      1        -1         1         0        12        -1       0.000           0.000    
      2        -1         0         0        12        -1      0.1110E-14       0.000    
      0        -1         1         2        12         1     -0.8882E-15       0.000    
      1        -1         0         2        12         1       0.000           0.000    
      0        -1         0         4        10         3     -0.9992E-15       0.000    
      0         0         0        -5         6        -5     -0.1110E-14       0.000    
      0         0         1        -3        10        -3     -0.1443E-14       0.000    
      1         0         0        -3        10        -3      0.2220E-15       0.000    
      0         0         2        -1        12        -1     -0.1221E-14       0.000    
      1         0         1        -1        12        -1       0.000           0.000    
      2         0         0        -1        12        -1      0.4441E-15       0.000    
      0         0         2         1        12         1     -0.1110E-14       0.000    
      1         0         1         1        12         1       0.000           0.000    
      2         0         0         1        12         1      0.4441E-15       0.000    
      0         0         1         3        10         3     -0.1554E-14       0.000    
      1         0         0         3        10         3      0.2220E-15       0.000    
      0         0         0         5         6         5     -0.1110E-14       0.000    
      0         1         0        -4        10        -3     -0.9992E-15       0.000    
      0         1         1        -2        12        -1     -0.8882E-15       0.000    
      1         1         0        -2        12        -1       0.000           0.000    
      0         1         2         0        12         1     -0.3331E-15       0.000    
      1         1         1         0        12         1       0.000           0.000    
      2         1         0         0        12         1      0.1110E-14       0.000    
      0         1         1         2        10         3     -0.4441E-15       0.000    
      1         1         0         2        10         3      0.2220E-15       0.000    
      0         1         0         4         6         5     -0.6661E-15       0.000    
      0         2         0        -3        12        -1     -0.2220E-15       0.000    
      0         2         1        -1        12         1       0.000           0.000    
      1         2         0        -1        12         1      0.6661E-15       0.000    
      0         2         1         1        10         3       0.000           0.000    
      1         2         0         1        10         3      0.6661E-15       0.000    
      0         2         0         3         6         5      0.2220E-15       0.000    
      0         3         0        -2        12         1       0.000           0.000    
      0         3         1         0        10         3     -0.2220E-15       0.000    
      1         3         0         0        10         3      0.6661E-15       0.000    
      0         3         0         2         6         5     -0.5551E-15       0.000    
      0         4         0        -1        10         3      0.2220E-15       0.000    
      0         4         0         1         6         5     -0.4441E-15       0.000    
      0         5         0         0         6         5      0.8882E-15      0.4000E-02
