#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -20         0         0        21       -20      0.2220E-14       0.000    
      0       -19         0        -1        42       -20      0.2442E-14       0.000    
      0       -19         0         1        82       -18      0.2220E-14       0.000    
      0       -18         0        -2       103       -20     -0.6661E-15       0.000    
      0       -18         1         0       143       -18      0.1110E-14       0.000    
      1       -18         0         0       183       -18      0.3109E-14       0.000    
      0       -18         0         2       240       -16      0.2665E-14       0.000    
      0       -17         0        -3       261       -20      0.2665E-14       0.000    
      0       -17         1        -1       301       -18      0.1110E-14       0.000    
      1       -17         0        -1       341       -18      0.1110E-14       0.000    
      0       -17         1         1       398       -16      0.6217E-14       0.000    
      1       -17         0         1       455       -16      0.1110E-14       0.000    
      0       -17         0         3       527       -14      0.2887E-14       0.000    
      0       -16         0        -4       548       -20      0.1243E-13       0.000    
      0       -16         1        -2       588       -18      0.9548E-14       0.000    
      1       -16         0        -2       628       -18      0.1554E-14      0.4000E-02
      0       -16         2         0       685       -16      0.2665E-14       0.000    
      1       -16         1         0       742       -16      0.5551E-14       0.000    
      2       -16         0         0       799       -16      0.3553E-14       0.000    
      0       -16         1         2       871       -14      0.7994E-14       0.000    
      1       -16         0         2       943       -14      0.6439E-14       0.000    
      0       -16         0         4      1028       -12      0.3997E-14       0.000    
      0       -15         0        -5      1049       -20      0.1044E-13       0.000    
      0       -15         1        -3      1089       -18      0.1399E-13       0.000    
      1       -15         0        -3      1129       -18      0.1021E-13       0.000    
      0       -15         2        -1      1186       -16      0.7327E-14      0.4000E-02
      1       -15         1        -1      1243       -16      0.1998E-14       0.000    
      2       -15         0        -1      1300       -16      0.6661E-14       0.000    
      0       -15         2         1      1372       -14      0.3775E-14       0.000    
      1       -15         1         1      1444       -14      0.3775E-14       0.000    
      2       -15         0         1      1516       -14      0.6439E-14       0.000    
      0       -15         1         3      1601       -12      0.3553E-14       0.000    
      1       -15         0         3      1686       -12      0.7772E-14       0.000    
      0       -15         0         5      1782       -10      0.6661E-14      0.4000E-02
      0       -14         0        -6      1803       -20     -0.8105E-14       0.000    
      0       -14         1        -4      1843       -18     -0.1299E-13       0.000    
      1       -14         0        -4      1883       -18      0.1465E-13       0.000    
      0       -14         2        -2      1940       -16      0.3331E-14       0.000    
      1       -14         1        -2      1997       -16      0.3997E-14       0.000    
      2       -14         0        -2      2054       -16      0.3553E-14       0.000    
      0       -14         3         0      2126       -14      0.2887E-14      0.4001E-02
      1       -14         2         0      2198       -14      0.3553E-14       0.000    
      2       -14         1         0      2270       -14      0.3997E-14       0.000    
      3       -14         0         0      2342       -14      0.4663E-14       0.000    
      0       -14         2         2      2427       -12      0.4885E-14       0.000    
      1       -14         1         2      2512       -12      0.3109E-14       0.000    
      2       -14         0         2      2597       -12      0.4663E-14      0.4000E-02
      0       -14         1         4      2693       -10      0.1998E-14       0.000    
      1       -14         0         4      2789       -10      0.4219E-14       0.000    
      0       -14         0         6      2894        -8      0.5773E-14       0.000    
      0       -13         0        -7      2915       -20     -0.2010E-13       0.000    
      0       -13         1        -5      2955       -18     -0.1488E-13       0.000    
      1       -13         0        -5      2995       -18     -0.1266E-13       0.000    
      0       -13         2        -3      3052       -16      0.8882E-15       0.000    
      1       -13         1        -3      3109       -16     -0.3331E-15      0.4000E-02
      2       -13         0        -3      3166       -16      0.4885E-14       0.000    
      0       -13         3        -1      3238       -14     -0.2220E-15       0.000    
      1       -13         2        -1      3310       -14      0.6217E-14       0.000    
      2       -13         1        -1      3382       -14     -0.3331E-15      0.4000E-02
      3       -13         0        -1      3454       -14      0.8438E-14       0.000    
      0       -13         3         1      3539       -12      0.1332E-14       0.000    
      1       -13         2         1      3624       -12      0.4441E-14       0.000    
      2       -13         1         1      3709       -12      0.8882E-15      0.4001E-02
      3       -13         0         1      3794       -12      0.8438E-14       0.000    
      0       -13         2         3      3890       -10      0.3331E-14       0.000    
      1       -13         1         3      3986       -10      0.3109E-14       0.000    
      2       -13         0         3      4082       -10      0.2220E-14       0.000    
      0       -13         1         5      4187        -8      0.1332E-14       0.000    
      1       -13         0         5      4292        -8      0.2665E-14       0.000    
      0       -13         0         7      4404        -6      0.3775E-14       0.000    
      0       -12         0        -8      4425       -20      0.1146E-12      0.4000E-02
      0       -12         1        -6      4465       -18      0.4996E-13       0.000    
      1       -12         0        -6      4505       -18     -0.1443E-13       0.000    
      0       -12         2        -4      4562       -16      0.1332E-14       0.000    
