#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -15         0         0        16       -15      0.3997E-14       0.000    
      0       -14         0        -1        32       -15      0.4219E-14       0.000    
      0       -14         0         1        62       -13      0.3553E-14       0.000    
      0       -13         0        -2        78       -15      0.2220E-15       0.000    
      0       -13         1         0       108       -13      0.3553E-14       0.000    
      1       -13         0         0       138       -13      0.3997E-14       0.000    
      0       -13         0         2       180       -11      0.1554E-14       0.000    
      0       -12         0        -3       196       -15      0.5329E-14       0.000    
      0       -12         1        -1       226       -13      0.1332E-14      0.4000E-02
      1       -12         0        -1       256       -13      0.3775E-14       0.000    
      0       -12         1         1       298       -11      0.1332E-14       0.000    
      1       -12         0         1       340       -11      0.3775E-14       0.000    
      0       -12         0         3       392        -9      0.3331E-14       0.000    
      0       -11         0        -4       408       -15     -0.4663E-14       0.000    
      0       -11         1        -2       438       -13      0.4441E-15       0.000    
      1       -11         0        -2       468       -13      0.1776E-14       0.000    
      0       -11         2         0       510       -11      0.1332E-14       0.000    
      1       -11         1         0       552       -11      0.3775E-14       0.000    
      2       -11         0         0       594       -11      0.1998E-14      0.4000E-02
      0       -11         1         2       646        -9      0.4441E-15       0.000    
      1       -11         0         2       698        -9      0.2665E-14       0.000    
      0       -11         0         4       758        -7      0.1776E-14       0.000    
      0       -10         0        -5       774       -15      0.1110E-14       0.000    
      0       -10         1        -3       804       -13      0.8882E-15       0.000    
      1       -10         0        -3       834       -13      0.1332E-14       0.000    
      0       -10         2        -1       876       -11      0.4885E-14       0.000    
      1       -10         1        -1       918       -11     -0.3331E-15       0.000    
      2       -10         0        -1       960       -11      0.2220E-14       0.000    
      0       -10         2         1      1012        -9      0.3331E-14       0.000    
      1       -10         1         1      1064        -9      0.4441E-15      0.4000E-02
      2       -10         0         1      1116        -9      0.3331E-14       0.000    
      0       -10         1         3      1176        -7      0.2665E-14       0.000    
      1       -10         0         3      1236        -7      0.2442E-14       0.000    
      0       -10         0         5      1302        -5      0.2887E-14       0.000    
      0        -9         0        -6      1318       -15     -0.6661E-15       0.000    
      0        -9         1        -4      1348       -13      0.3109E-14       0.000    
      1        -9         0        -4      1378       -13      0.1332E-14       0.000    
