        2601   1.0000000000000000     
           0          50           0         -50          20          10          20         -10  4.18591492525519498E-002
           1          49           0         -49          20          10          20         -10  5.91977765823577876E-002
           0          49           1         -49          20          10          20         -10 -5.91977765823577876E-002
           2          48           0         -48          20          10          20         -10  2.98993923232511311E-002
           1          48           1         -48          20          10          20         -10 -8.37182985051044409E-002
           0          48           2         -48          20          10          20         -10  2.98993923232512004E-002
           3          47           0         -47          20          10          20         -10 -2.39195138586180377E-002
           2          47           1         -47          20          10          20         -10 -4.22841261302683361E-002
           1          47           2         -47          20          10          20         -10  4.22841261302557905E-002
           0          47           3         -47          20          10          20         -10  2.39195138585910905E-002
           4          46           0         -46          20          10          20         -10 -4.36127460701663597E-002
           3          46           1         -46          20          10          20         -10  3.38273009041585582E-002
           2          46           2         -46          20          10          20         -10  2.13567088023322929E-002
           1          46           3         -46          20          10          20         -10  3.38273009041896514E-002
           0          46           4         -46          20          10          20         -10 -4.36127460702083886E-002
           5          45           0         -45          20          10          20         -10 -7.13183350131422165E-003
           4          45           1         -45          20          10          20         -10  6.16777369848639165E-002
           3          45           2         -45          20          10          20         -10 -1.70853670419038699E-002
           2          45           3         -45          20          10          20         -10  1.70853670418917719E-002
           1          45           4         -45          20          10          20         -10 -6.16777369847927304E-002
           0          45           5         -45          20          10          20         -10  7.13183350120902542E-003
           6          44           0         -44          20          10          20         -10  3.59124462651220916E-002
           5          44           1         -44          20          10          20         -10  1.00859356620549064E-002
           4          44           2         -44          20          10          20         -10 -3.11519614784046966E-002
           3          44           3         -44          20          10          20         -10 -1.36682936337104936E-002
           2          44           4         -44          20          10          20         -10 -3.11519614783506114E-002
           1          44           5         -44          20          10          20         -10  1.00859356618452928E-002
           0          44           6         -44          20          10          20         -10  3.59124462650074680E-002
           7          43           0         -43          20          10          20         -10  2.71404204144208121E-002
           6          43           1         -43          20          10          20         -10 -5.07878685662290080E-002
           5          43           2         -43          20          10          20         -10 -5.09416678673196149E-003
           4          43           3         -43          20          10          20         -10 -2.49215691825621401E-002
           3          43           4         -43          20          10          20         -10  2.49215691830209259E-002
           2          43           5         -43          20          10          20         -10  5.09416678687059452E-003
           1          43           6         -43          20          10          20         -10  5.07878685662078583E-002
           0          43           7         -43          20          10          20         -10 -2.71404204148512594E-002
           8          42           0         -42          20          10          20         -10 -1.93482549497240516E-002
           7          42           1         -42          20          10          20         -10 -3.83823506385229940E-002
           6          42           2         -42          20          10          20         -10  2.56517473354675035E-002
           5          42           3         -42          20          10          20         -10 -4.07533342645161924E-003
           4          42           4         -42          20          10          20         -10  4.54398059654754841E-002
           3          42           5         -42          20          10          20         -10 -4.07533342609814764E-003
           2          42           6         -42          20          10          20         -10  2.56517473357678362E-002
           1          42           7         -42          20          10          20         -10 -3.83823506406024278E-002
           0          42           8         -42          20          10          20         -10 -1.93482549518072186E-002
           9          41           0         -41          20          10          20         -10 -3.58427321518776792E-002
           8          41           1         -41          20          10          20         -10  2.73625645596095139E-002
           7          41           2         -41          20          10          20         -10  1.93860145836085435E-002
           6          41           3         -41          20          10          20         -10  2.05213978577554017E-002
