#    n1        m1        n2        m2     count        mJ       sum-1               T
      0        -2         0         0         3        -2      0.4441E-15       0.000    
      0        -1         0        -1         6        -2      0.2220E-15       0.000    
      0        -1         0         1        10         0       0.000           0.000    
      0         0         0        -2        13        -2     -0.4441E-15       0.000    
      0         0         1         0        17         0     -0.4441E-15       0.000    
      1         0         0         0        21         0      0.4441E-15       0.000    
      0         0         0         2        24         2     -0.4441E-15       0.000    
      0         1         0        -1        28         0       0.000           0.000    
      0         1         0         1        31         2      0.2220E-15       0.000    
      0         2         0         0        34         2      0.4441E-15       0.000    
