#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -18         1         4      3281       -14      0.2220E-15       0.000    
      1       -18         0         4      3401       -14     -0.9992E-15       0.000    
      0       -18         0         6      3534       -12     -0.4441E-15      0.4001E-02
      0       -17         0        -7      3559       -24     -0.1612E-12       0.000    
      0       -17         1        -5      3607       -22     -0.7838E-13       0.000    
      1       -17         0        -5      3655       -22     -0.6994E-14       0.000    
      0       -17         2        -3      3724       -20      0.1776E-14       0.000    
      1       -17         1        -3      3793       -20      0.7994E-14      0.4000E-02
      2       -17         0        -3      3862       -20      0.4885E-14       0.000    
      0       -17         3        -1      3950       -18      0.1354E-13       0.000    
      1       -17         2        -1      4038       -18      0.4441E-15      0.4000E-02
      2       -17         1        -1      4126       -18      0.5107E-14      0.4000E-02
      3       -17         0        -1      4214       -18      0.3109E-14       0.000    
      0       -17         3         1      4319       -16      0.7550E-14       0.000    
      1       -17         2         1      4424       -16     -0.7772E-15      0.4001E-02
      2       -17         1         1      4529       -16      0.7105E-14       0.000    
      3       -17         0         1      4634       -16      0.2442E-14       0.000    
      0       -17         2         3      4754       -14      0.3775E-14       0.000    
      1       -17         1         3      4874       -14      0.3775E-14      0.4000E-02
      2       -17         0         3      4994       -14      0.3997E-14       0.000    
      0       -17         1         5      5127       -12      0.2442E-14       0.000    
      1       -17         0         5      5260       -12     -0.3331E-15       0.000    
      0       -17         0         7      5404       -10      0.3775E-14       0.000    
      0       -16         0        -8      5429       -24     -0.1306E-12      0.4000E-02
      0       -16         1        -6      5477       -22     -0.1018E-12       0.000    
      1       -16         0        -6      5525       -22     -0.7805E-13       0.000    
      0       -16         2        -4      5594       -20     -0.5551E-14       0.000    
      1       -16         1        -4      5663       -20     -0.1354E-13      0.4000E-02
      2       -16         0        -4      5732       -20      0.1377E-13       0.000    
      0       -16         3        -2      5820       -18     -0.6883E-14      0.4001E-02
      1       -16         2        -2      5908       -18      0.7327E-14       0.000    
      2       -16         1        -2      5996       -18      0.2665E-14      0.4000E-02
      3       -16         0        -2      6084       -18      0.1998E-14       0.000    
      0       -16         4         0      6189       -16      0.8660E-14      0.4000E-02
      1       -16         3         0      6294       -16      0.4441E-14      0.4000E-02
      2       -16         2         0      6399       -16     -0.2998E-14       0.000    
      3       -16         1         0      6504       -16      0.3331E-14       0.000    
      4       -16         0         0      6609       -16      0.7105E-14      0.4001E-02
      0       -16         3         2      6729       -14      0.5551E-14       0.000    
      1       -16         2         2      6849       -14     -0.5551E-15      0.4000E-02
      2       -16         1         2      6969       -14      0.3109E-14       0.000    
      3       -16         0         2      7089       -14      0.4663E-14       0.000    
      0       -16         2         4      7222       -12      0.6883E-14      0.4000E-02
      1       -16         1         4      7355       -12      0.2887E-14       0.000    
      2       -16         0         4      7488       -12      0.6439E-14       0.000    
      0       -16         1         6      7632       -10      0.1332E-14       0.000    
      1       -16         0         6      7776       -10      0.2220E-14      0.4000E-02
      0       -16         0         8      7929        -8      0.6661E-14       0.000    
      0       -15         0        -9      7954       -24      0.2220E-14       0.000    
      0       -15         1        -7      8002       -22     -0.3753E-13       0.000    
      1       -15         0        -7      8050       -22     -0.1014E-12       0.000    
      0       -15         2        -5      8119       -20     -0.2420E-13      0.4001E-02
      1       -15         1        -5      8188       -20     -0.1499E-13       0.000    
      2       -15         0        -5      8257       -20      0.1998E-14       0.000    
      0       -15         3        -3      8345       -18     -0.1099E-13      0.4000E-02
      1       -15         2        -3      8433       -18     -0.1010E-13      0.4000E-02
      2       -15         1        -3      8521       -18      0.1288E-13      0.4000E-02
      3       -15         0        -3      8609       -18      0.1332E-14       0.000    
      0       -15         4        -1      8714       -16     -0.4441E-15      0.4001E-02
      1       -15         3        -1      8819       -16      0.8660E-14      0.4000E-02
      2       -15         2        -1      8924       -16      0.4885E-14      0.4000E-02
      3       -15         1        -1      9029       -16      0.6661E-15       0.000    
      4       -15         0        -1      9134       -16      0.6661E-15       0.000    
      0       -15         4         1      9254       -14      0.2220E-15      0.4000E-02
      1       -15         3         1      9374       -14      0.3775E-14      0.4001E-02
      2       -15         2         1      9494       -14      0.2665E-14      0.4000E-02
      3       -15         1         1      9614       -14      0.3553E-14       0.000    
      4       -15         0         1      9734       -14      0.2220E-15       0.000    
      0       -15         3         3      9867       -12      0.3997E-14      0.4000E-02
      1       -15         2         3     10000       -12     -0.6661E-15      0.4000E-02
      2       -15         1         3     10133       -12      0.8882E-14       0.000    
      3       -15         0         3     10266       -12      0.4441E-15       0.000    
      0       -15         2         5     10410       -10      0.2665E-14      0.4001E-02
      1       -15         1         5     10554       -10      0.5995E-14       0.000    
      2       -15         0         5     10698       -10      0.5329E-14       0.000    
      0       -15         1         7     10851        -8      0.6661E-14       0.000    
      1       -15         0         7     11004        -8      0.6661E-15      0.4000E-02
      0       -15         0         9     11164        -6      0.8882E-14       0.000    
      0       -14         0       -10     11189       -24      0.2796E-12       0.000    
      0       -14         1        -8     11237       -22      0.7816E-13       0.000    
      1       -14         0        -8     11285       -22     -0.3697E-13       0.000    
      0       -14         2        -6     11354       -20      0.5795E-13      0.4000E-02
      1       -14         1        -6     11423       -20      0.2442E-14       0.000    
      2       -14         0        -6     11492       -20     -0.1177E-13       0.000    
      0       -14         3        -4     11580       -18      0.2931E-13      0.4000E-02
      1       -14         2        -4     11668       -18     -0.1699E-13      0.4001E-02
      2       -14         1        -4     11756       -18     -0.5329E-14      0.4000E-02
      3       -14         0        -4     11844       -18      0.1488E-13       0.000    
      0       -14         4        -2     11949       -16      0.1554E-14      0.4000E-02
      1       -14         3        -2     12054       -16     -0.9992E-15      0.4000E-02
      2       -14         2        -2     12159       -16      0.4441E-15      0.4001E-02
      3       -14         1        -2     12264       -16      0.4663E-14      0.4000E-02
      4       -14         0        -2     12369       -16      0.5329E-14       0.000    
      0       -14         5         0     12489       -14      0.4219E-14      0.4000E-02
      1       -14         4         0     12609       -14      0.1332E-14      0.4000E-02
      2       -14         3         0     12729       -14      0.1998E-14      0.8001E-02
      3       -14         2         0     12849       -14     -0.3331E-14       0.000    
      4       -14         1         0     12969       -14      0.5329E-14      0.4000E-02
      5       -14         0         0     13089       -14      0.3331E-14       0.000    
      0       -14         4         2     13222       -12     -0.1332E-14      0.4000E-02
      1       -14         3         2     13355       -12      0.7994E-14      0.4001E-02
      2       -14         2         2     13488       -12     -0.6661E-15      0.4000E-02
      3       -14         1         2     13621       -12      0.4441E-14       0.000    
      4       -14         0         2     13754       -12      0.7105E-14       0.000    
      0       -14         3         4     13898       -10      0.5551E-14      0.4000E-02
      1       -14         2         4     14042       -10      0.6661E-15      0.4000E-02
      2       -14         1         4     14186       -10      0.2665E-14       0.000    
      3       -14         0         4     14330       -10      0.7105E-14       0.000    
      0       -14         2         6     14483        -8      0.2220E-15      0.4001E-02
      1       -14         1         6     14636        -8      0.7327E-14       0.000    
      2       -14         0         6     14789        -8      0.1554E-14      0.4000E-02
      0       -14         1         8     14949        -6      0.7327E-14       0.000    
      1       -14         0         8     15109        -6      0.5773E-14       0.000    
      0       -14         0        10     15274        -4      0.5329E-14       0.000    
      0       -13         0       -11     15299       -24     -0.3609E-12       0.000    
      0       -13         1        -9     15347       -22      0.4108E-13       0.000    
      1       -13         0        -9     15395       -22      0.7860E-13      0.4000E-02
      0       -13         2        -7     15464       -20      0.4929E-13       0.000    
      1       -13         1        -7     15533       -20      0.4796E-13       0.000    
      2       -13         0        -7     15602       -20     -0.2420E-13      0.4000E-02
      0       -13         3        -5     15690       -18     -0.1266E-13       0.000    
      1       -13         2        -5     15778       -18     -0.3675E-13      0.4001E-02
      2       -13         1        -5     15866       -18     -0.1554E-13      0.4000E-02
      3       -13         0        -5     15954       -18     -0.5884E-14      0.4000E-02
      0       -13         4        -3     16059       -16     -0.4108E-14       0.000    
      1       -13         3        -3     16164       -16     -0.1921E-13      0.8001E-02
      2       -13         2        -3     16269       -16     -0.2776E-14      0.4000E-02
      3       -13         1        -3     16374       -16      0.8216E-14      0.4000E-02
      4       -13         0        -3     16479       -16      0.9104E-14      0.4000E-02
      0       -13         5        -1     16599       -14      0.5107E-14       0.000    
      1       -13         4        -1     16719       -14     -0.2109E-14      0.8001E-02
      2       -13         3        -1     16839       -14     -0.2220E-14      0.8000E-02
      3       -13         2        -1     16959       -14      0.9548E-14      0.4001E-02
      4       -13         1        -1     17079       -14      0.7327E-14       0.000    
      5       -13         0        -1     17199       -14      0.2220E-14      0.4000E-02
      0       -13         5         1     17332       -12      0.5773E-14      0.4000E-02
      1       -13         4         1     17465       -12      0.8882E-15      0.4000E-02
      2       -13         3         1     17598       -12     -0.2442E-14      0.8001E-02
      3       -13         2         1     17731       -12      0.8660E-14      0.4000E-02
      4       -13         1         1     17864       -12      0.9992E-14       0.000    
      5       -13         0         1     17997       -12      0.1332E-14       0.000    
      0       -13         4         3     18141       -10     -0.1554E-14      0.4000E-02
      1       -13         3         3     18285       -10      0.3553E-14      0.4001E-02
      2       -13         2         3     18429       -10      0.3997E-14      0.4000E-02
      3       -13         1         3     18573       -10      0.2665E-14      0.4000E-02
      4       -13         0         3     18717       -10      0.7550E-14       0.000    
      0       -13         3         5     18870        -8     -0.5551E-15       0.000    
      1       -13         2         5     19023        -8      0.1554E-14      0.4000E-02
      2       -13         1         5     19176        -8      0.6661E-15      0.4001E-02
      3       -13         0         5     19329        -8      0.7772E-14       0.000    
      0       -13         2         7     19489        -6      0.5329E-14      0.4000E-02
      1       -13         1         7     19649        -6      0.5329E-14       0.000    
      2       -13         0         7     19809        -6      0.1998E-14       0.000    
      0       -13         1         9     19974        -4      0.1110E-14      0.4000E-02
      1       -13         0         9     20139        -4      0.8216E-14       0.000    
      0       -13         0        11     20307        -2      0.3109E-14       0.000    
      0       -12         0       -12     20332       -24     -0.4482E-12       0.000    
      0       -12         1       -10     20380       -22     -0.1410E-12       0.000    
      1       -12         0       -10     20428       -22      0.4152E-13       0.000    
      0       -12         2        -8     20497       -20     -0.6317E-13      0.4000E-02
      1       -12         1        -8     20566       -20      0.7949E-13       0.000    
      2       -12         0        -8     20635       -20      0.5684E-13       0.000    
      0       -12         3        -6     20723       -18     -0.2842E-13      0.4001E-02
      1       -12         2        -6     20811       -18      0.7971E-13      0.4000E-02
      2       -12         1        -6     20899       -18      0.1577E-13      0.4000E-02
      3       -12         0        -6     20987       -18     -0.8771E-14       0.000    
      0       -12         4        -4     21092       -16      0.2931E-13      0.4000E-02
      1       -12         3        -4     21197       -16      0.2842E-13      0.4001E-02
      2       -12         2        -4     21302       -16     -0.6328E-14      0.8000E-02
      3       -12         1        -4     21407       -16      0.9770E-14      0.4000E-02
      4       -12         0        -4     21512       -16      0.9992E-14      0.4001E-02
      0       -12         5        -2     21632       -14      0.1288E-13      0.4000E-02
      1       -12         4        -2     21752       -14     -0.5440E-14      0.4000E-02
      2       -12         3        -2     21872       -14      0.2220E-14      0.8001E-02
      3       -12         2        -2     21992       -14      0.6439E-14      0.8000E-02
      4       -12         1        -2     22112       -14      0.4663E-14      0.4000E-02
      5       -12         0        -2     22232       -14      0.5551E-14       0.000    
      0       -12         6         0     22365       -12     -0.2776E-14      0.4001E-02
      1       -12         5         0     22498       -12     -0.5884E-14      0.8000E-02
      2       -12         4         0     22631       -12     -0.7438E-14      0.8001E-02
      3       -12         3         0     22764       -12      0.5995E-14      0.8000E-02
      4       -12         2         0     22897       -12     -0.3331E-15       0.000    
      5       -12         1         0     23030       -12      0.4663E-14      0.4000E-02
      6       -12         0         0     23163       -12      0.1998E-14       0.000    
      0       -12         5         2     23307       -10      0.2220E-15      0.4001E-02
      1       -12         4         2     23451       -10      0.7550E-14      0.4000E-02
      2       -12         3         2     23595       -10     -0.1110E-15      0.8000E-02
      3       -12         2         2     23739       -10      0.2220E-14      0.4001E-02
      4       -12         1         2     23883       -10      0.3997E-14      0.4000E-02
      5       -12         0         2     24027       -10      0.6217E-14       0.000    
      0       -12         4         4     24180        -8      0.3331E-14      0.4000E-02
      1       -12         3         4     24333        -8      0.1110E-14      0.4000E-02
      2       -12         2         4     24486        -8      0.2887E-14      0.4001E-02
      3       -12         1         4     24639        -8      0.7550E-14      0.4000E-02
      4       -12         0         4     24792        -8      0.8216E-14       0.000    
      0       -12         3         6     24952        -6      0.2442E-14      0.4000E-02
      1       -12         2         6     25112        -6      0.3109E-14      0.4000E-02
      2       -12         1         6     25272        -6      0.1554E-14       0.000    
      3       -12         0         6     25432        -6      0.6883E-14      0.4001E-02
      0       -12         2         8     25597        -4      0.2220E-14       0.000    
      1       -12         1         8     25762        -4      0.2887E-14       0.000    
      2       -12         0         8     25927        -4      0.2220E-15      0.4000E-02
      0       -12         1        10     26095        -2      0.2887E-14       0.000    
      1       -12         0        10     26263        -2      0.1554E-14       0.000    
      0       -12         0        12     26432         0      0.4441E-14       0.000    
      0       -11         0       -13     26457       -24      0.1485E-12       0.000    
      0       -11         1       -11     26505       -22     -0.9925E-13      0.4000E-02
      1       -11         0       -11     26553       -22     -0.1402E-12       0.000    
      0       -11         2        -9     26622       -20     -0.1177E-13       0.000    
      1       -11         1        -9     26691       -20     -0.4130E-13       0.000    
      2       -11         0        -9     26760       -20      0.4086E-13      0.4000E-02
      0       -11         3        -7     26848       -18     -0.2809E-13       0.000    
      1       -11         2        -7     26936       -18      0.6284E-13      0.4001E-02
      2       -11         1        -7     27024       -18      0.9770E-14      0.4000E-02
      3       -11         0        -7     27112       -18      0.3042E-13      0.4000E-02
      0       -11         4        -5     27217       -16      0.9548E-14       0.000    
      1       -11         3        -5     27322       -16      0.3797E-13      0.8001E-02
      2       -11         2        -5     27427       -16      0.3997E-14      0.4000E-02
      3       -11         1        -5     27532       -16     -0.1532E-13      0.4000E-02
      4       -11         0        -5     27637       -16      0.8882E-15      0.4000E-02
      0       -11         5        -3     27757       -14      0.6217E-14      0.4001E-02
      1       -11         4        -3     27877       -14      0.6661E-14      0.8000E-02
      2       -11         3        -3     27997       -14     -0.2109E-14      0.8001E-02
      3       -11         2        -3     28117       -14      0.2220E-14      0.8000E-02
      4       -11         1        -3     28237       -14     -0.2220E-15      0.4000E-02
      5       -11         0        -3     28357       -14      0.7327E-14       0.000    
      0       -11         6        -1     28490       -12     -0.6439E-14      0.8001E-02
      1       -11         5        -1     28623       -12      0.2220E-15      0.8000E-02
      2       -11         4        -1     28756       -12     -0.4885E-14      0.8001E-02
      3       -11         3        -1     28889       -12      0.4441E-15      0.8000E-02
      4       -11         2        -1     29022       -12      0.5107E-14      0.8001E-02
      5       -11         1        -1     29155       -12      0.7550E-14       0.000    
      6       -11         0        -1     29288       -12      0.5329E-14       0.000    
      0       -11         6         1     29432       -10     -0.1776E-14      0.4000E-02
      1       -11         5         1     29576       -10      0.4441E-15      0.8001E-02
      2       -11         4         1     29720       -10     -0.8216E-14      0.1200E-01
      3       -11         3         1     29864       -10      0.1776E-14      0.8001E-02
      4       -11         2         1     30008       -10      0.5329E-14      0.4000E-02
      5       -11         1         1     30152       -10      0.1088E-13       0.000    
      6       -11         0         1     30296       -10      0.3997E-14       0.000    
      0       -11         5         3     30449        -8     -0.1110E-15      0.4000E-02
      1       -11         4         3     30602        -8      0.1998E-14      0.8001E-02
      2       -11         3         3     30755        -8      0.5329E-14      0.8000E-02
      3       -11         2         3     30908        -8     -0.4441E-15      0.4001E-02
      4       -11         1         3     31061        -8       0.000          0.4000E-02
      5       -11         0         3     31214        -8      0.9326E-14       0.000    
      0       -11         4         5     31374        -6      0.3997E-14      0.4000E-02
      1       -11         3         5     31534        -6     -0.2220E-15      0.4000E-02
      2       -11         2         5     31694        -6     -0.1221E-14      0.4001E-02
      3       -11         1         5     31854        -6      0.6661E-14      0.4000E-02
      4       -11         0         5     32014        -6      0.3997E-14       0.000    
      0       -11         3         7     32179        -4      0.4885E-14      0.4000E-02
      1       -11         2         7     32344        -4      0.4441E-14      0.4000E-02
      2       -11         1         7     32509        -4      0.1998E-14       0.000    
      3       -11         0         7     32674        -4      0.6883E-14      0.4001E-02
      0       -11         2         9     32842        -2      0.2220E-14       0.000    
      1       -11         1         9     33010        -2      0.7772E-14       0.000    
      2       -11         0         9     33178        -2     -0.1554E-14      0.4000E-02
      0       -11         1        11     33347         0      0.2665E-14       0.000    
      1       -11         0        11     33516         0      0.3553E-14       0.000    
      0       -11         0        13     33684         2      0.1776E-14       0.000    
      0       -10         0       -14     33709       -24      0.1665E-12       0.000    
      0       -10         1       -12     33757       -22      0.7572E-13       0.000    
      1       -10         0       -12     33805       -22     -0.9803E-13      0.4000E-02
      0       -10         2       -10     33874       -20      0.1665E-13       0.000    
      1       -10         1       -10     33943       -20     -0.6029E-13       0.000    
      2       -10         0       -10     34012       -20     -0.6040E-13      0.4000E-02
      0       -10         3        -8     34100       -18     -0.3408E-13       0.000    
      1       -10         2        -8     34188       -18     -0.3930E-13      0.4001E-02
      2       -10         1        -8     34276       -18      0.5174E-13      0.4000E-02
      3       -10         0        -8     34364       -18     -0.1332E-13       0.000    
      0       -10         4        -6     34469       -16     -0.1077E-13      0.4000E-02
      1       -10         3        -6     34574       -16     -0.2476E-13      0.4000E-02
      2       -10         2        -6     34679       -16      0.2442E-14      0.8001E-02
      3       -10         1        -6     34784       -16      0.1821E-13      0.4000E-02
      4       -10         0        -6     34889       -16      0.4219E-14      0.4000E-02
      0       -10         5        -4     35009       -14     -0.2465E-13       0.000    
      1       -10         4        -4     35129       -14     -0.1099E-13      0.8001E-02
      2       -10         3        -4     35249       -14     -0.1554E-14      0.8000E-02
      3       -10         2        -4     35369       -14     -0.1121E-13      0.1200E-01
      4       -10         1        -4     35489       -14      0.4441E-15      0.4000E-02
      5       -10         0        -4     35609       -14      0.1998E-14      0.4001E-02
      0       -10         6        -2     35742       -12      0.3553E-14      0.4000E-02
      1       -10         5        -2     35875       -12      0.5107E-14      0.8000E-02
      2       -10         4        -2     36008       -12     -0.2887E-14      0.8001E-02
      3       -10         3        -2     36141       -12     -0.7661E-14      0.1200E-01
      4       -10         2        -2     36274       -12     -0.4663E-14      0.8000E-02
      5       -10         1        -2     36407       -12      0.9770E-14      0.4000E-02
      6       -10         0        -2     36540       -12      0.9992E-14       0.000    
      0       -10         7         0     36684       -10      0.4885E-14      0.4001E-02
      1       -10         6         0     36828       -10     -0.4663E-14      0.1200E-01
      2       -10         5         0     36972       -10      0.6661E-15      0.8001E-02
      3       -10         4         0     37116       -10      0.2220E-15      0.1200E-01
      4       -10         3         0     37260       -10      0.5107E-14      0.8000E-02
      5       -10         2         0     37404       -10      0.4885E-14      0.4000E-02
      6       -10         1         0     37548       -10      0.8660E-14       0.000    
      7       -10         0         0     37692       -10      0.7105E-14       0.000    
      0       -10         6         2     37845        -8     -0.1110E-15      0.4001E-02
      1       -10         5         2     37998        -8     -0.5551E-15      0.8000E-02
      2       -10         4         2     38151        -8      0.1110E-14      0.1200E-01
      3       -10         3         2     38304        -8     -0.4219E-14      0.8000E-02
      4       -10         2         2     38457        -8      0.4441E-15      0.4001E-02
      5       -10         1         2     38610        -8      0.7550E-14      0.4000E-02
      6       -10         0         2     38763        -8      0.1088E-13       0.000    
      0       -10         5         4     38923        -6     -0.2220E-15      0.4000E-02
      1       -10         4         4     39083        -6      0.1554E-14      0.4000E-02
      2       -10         3         4     39243        -6      0.2887E-14      0.8001E-02
      3       -10         2         4     39403        -6      0.2220E-14      0.8000E-02
      4       -10         1         4     39563        -6      0.1998E-14      0.4001E-02
      5       -10         0         4     39723        -6      0.5551E-14       0.000    
      0       -10         4         6     39888        -4      0.6661E-15      0.4000E-02
      1       -10         3         6     40053        -4      0.2220E-15      0.4000E-02
      2       -10         2         6     40218        -4      0.8882E-15      0.4000E-02
      3       -10         1         6     40383        -4      0.3997E-14      0.4001E-02
      4       -10         0         6     40548        -4      0.3331E-14       0.000    
      0       -10         3         8     40716        -2      0.4441E-14      0.4000E-02
      1       -10         2         8     40884        -2      0.2220E-15       0.000    
      2       -10         1         8     41052        -2      0.3997E-14      0.4000E-02
      3       -10         0         8     41220        -2      0.1110E-14      0.4000E-02
      0       -10         2        10     41389         0      0.8882E-15       0.000    
      1       -10         1        10     41558         0      0.8882E-15       0.000    
      2       -10         0        10     41727         0      0.2887E-14      0.4001E-02
      0       -10         1        12     41895         2      0.2220E-15       0.000    
      1       -10         0        12     42063         2      0.2665E-14       0.000    
      0       -10         0        14     42228         4      0.3553E-14       0.000    
      0        -9         0       -15     42253       -24     -0.1519E-12       0.000    
      0        -9         1       -13     42301       -22      0.6262E-13       0.000    
      1        -9         0       -13     42349       -22      0.7594E-13      0.4000E-02
      0        -9         2       -11     42418       -20     -0.4108E-14       0.000    
      1        -9         1       -11     42487       -20      0.3286E-13       0.000    
      2        -9         0       -11     42556       -20     -0.1366E-13       0.000    
      0        -9         3        -9     42644       -18     -0.3275E-13      0.4000E-02
      1        -9         2        -9     42732       -18     -0.7105E-14      0.4000E-02
      2        -9         1        -9     42820       -18     -0.4485E-13       0.000    
      3        -9         0        -9     42908       -18     -0.2787E-13      0.4001E-02
      0        -9         4        -7     43013       -16      0.1132E-13       0.000    
      1        -9         3        -7     43118       -16     -0.1099E-13      0.8000E-02
      2        -9         2        -7     43223       -16     -0.2287E-13      0.4000E-02
      3        -9         1        -7     43328       -16      0.1288E-13      0.4001E-02
      4        -9         0        -7     43433       -16     -0.2665E-14      0.4000E-02
      0        -9         5        -5     43553       -14     -0.2709E-13      0.4000E-02
      1        -9         4        -5     43673       -14      0.3553E-14      0.8001E-02
      2        -9         3        -5     43793       -14      0.2220E-14      0.8000E-02
      3        -9         2        -5     43913       -14      0.2465E-13      0.8001E-02
      4        -9         1        -5     44033       -14      0.7327E-14      0.4000E-02
      5        -9         0        -5     44153       -14      0.7105E-14      0.4000E-02
      0        -9         6        -3     44286       -12     -0.4885E-14      0.4000E-02
      1        -9         5        -3     44419       -12     -0.1554E-14      0.8001E-02
      2        -9         4        -3     44552       -12      0.1354E-13      0.1200E-01
      3        -9         3        -3     44685       -12      0.2887E-14      0.1200E-01
      4        -9         2        -3     44818       -12     -0.2220E-15      0.8001E-02
      5        -9         1        -3     44951       -12      0.4441E-15      0.8000E-02
      6        -9         0        -3     45084       -12      0.6217E-14       0.000    
      0        -9         7        -1     45228       -10     -0.5662E-14      0.4001E-02
      1        -9         6        -1     45372       -10      0.2665E-14      0.8000E-02
      2        -9         5        -1     45516       -10      0.4663E-14      0.1600E-01
      3        -9         4        -1     45660       -10      0.4885E-14      0.1200E-01
      4        -9         3        -1     45804       -10      0.6217E-14      0.8000E-02
      5        -9         2        -1     45948       -10     -0.3331E-15      0.8001E-02
      6        -9         1        -1     46092       -10      0.9548E-14      0.4000E-02
      7        -9         0        -1     46236       -10      0.4219E-14       0.000    
      0        -9         7         1     46389        -8     -0.3442E-14      0.4000E-02
      1        -9         6         1     46542        -8     -0.3442E-14      0.8001E-02
      2        -9         5         1     46695        -8     -0.8993E-14      0.1200E-01
      3        -9         4         1     46848        -8     -0.2665E-14      0.1200E-01
      4        -9         3         1     47001        -8      0.3331E-14      0.8001E-02
      5        -9         2         1     47154        -8      0.2220E-14      0.4000E-02
      6        -9         1         1     47307        -8      0.9770E-14      0.4000E-02
      7        -9         0         1     47460        -8      0.3775E-14       0.000    
      0        -9         6         3     47620        -6     -0.5551E-15      0.4001E-02
      1        -9         5         3     47780        -6      0.3997E-14      0.8000E-02
      2        -9         4         3     47940        -6      0.3553E-14      0.8001E-02
      3        -9         3         3     48100        -6     -0.3331E-14      0.1200E-01
      4        -9         2         3     48260        -6      0.1776E-14      0.4001E-02
      5        -9         1         3     48420        -6      0.2665E-14      0.4000E-02
      6        -9         0         3     48580        -6      0.7994E-14       0.000    
      0        -9         5         5     48745        -4     -0.1776E-14      0.4000E-02
      1        -9         4         5     48910        -4      0.3553E-14      0.8001E-02
      2        -9         3         5     49075        -4      0.4219E-14      0.4000E-02
      3        -9         2         5     49240        -4      0.6439E-14      0.8000E-02
      4        -9         1         5     49405        -4      0.4663E-14      0.4001E-02
      5        -9         0         5     49570        -4      0.6661E-14       0.000    
      0        -9         4         7     49738        -2      0.3553E-14      0.4000E-02
      1        -9         3         7     49906        -2      0.1332E-14      0.4000E-02
      2        -9         2         7     50074        -2     -0.1221E-14      0.4000E-02
      3        -9         1         7     50242        -2      0.2220E-15      0.4001E-02
      4        -9         0         7     50410        -2      0.1332E-14      0.4000E-02
      0        -9         3         9     50579         0      0.8882E-15       0.000    
      1        -9         2         9     50748         0     -0.8882E-15      0.4000E-02
      2        -9         1         9     50917         0       0.000           0.000    
      3        -9         0         9     51086         0      0.3331E-14      0.4000E-02
      0        -9         2        11     51254         2     -0.4219E-14       0.000    
      1        -9         1        11     51422         2      0.6661E-14      0.4001E-02
      2        -9         0        11     51590         2      0.3109E-14       0.000    
      0        -9         1        13     51755         4      0.5107E-14       0.000    
      1        -9         0        13     51920         4       0.000           0.000    
      0        -9         0        15     52080         6      0.5995E-14       0.000    
      0        -8         0       -16     52105       -24     -0.3152E-12       0.000    
