#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -24         0         0        25       -24      0.9104E-14       0.000    
      0       -23         0        -1        50       -24      0.5329E-14       0.000    
      0       -23         0         1        98       -22      0.5329E-14       0.000    
      0       -22         0        -2       123       -24      0.4663E-14       0.000    
      0       -22         1         0       171       -22      0.4885E-14       0.000    
      1       -22         0         0       219       -22      0.5995E-14       0.000    
      0       -22         0         2       288       -20      0.6883E-14       0.000    
      0       -21         0        -3       313       -24     -0.8438E-14       0.000    
      0       -21         1        -1       361       -22      0.2665E-14       0.000    
      1       -21         0        -1       409       -22      0.5107E-14       0.000    
      0       -21         1         1       478       -20      0.3331E-14       0.000    
      1       -21         0         1       547       -20      0.5995E-14      0.4000E-02
      0       -21         0         3       635       -18      0.1332E-14       0.000    
      0       -20         0        -4       660       -24      0.3308E-13       0.000    
      0       -20         1        -2       708       -22     -0.4885E-14       0.000    
      1       -20         0        -2       756       -22      0.3109E-14       0.000    
      0       -20         2         0       825       -20     -0.3664E-14       0.000    
      1       -20         1         0       894       -20      0.2442E-14       0.000    
      2       -20         0         0       963       -20      0.7550E-14       0.000    
      0       -20         1         2      1051       -18      0.1554E-14      0.4000E-02
      1       -20         0         2      1139       -18      0.4219E-14       0.000    
      0       -20         0         4      1244       -16      0.4885E-14       0.000    
      0       -19         0        -5      1269       -24      0.1865E-13       0.000    
      0       -19         1        -3      1317       -22      0.3553E-14       0.000    
      1       -19         0        -3      1365       -22     -0.4552E-14       0.000    
      0       -19         2        -1      1434       -20      0.3553E-14       0.000    
      1       -19         1        -1      1503       -20      0.3109E-14      0.4000E-02
      2       -19         0        -1      1572       -20      0.4219E-14       0.000    
      0       -19         2         1      1660       -18      0.2220E-15       0.000    
      1       -19         1         1      1748       -18      0.4219E-14       0.000    
      2       -19         0         1      1836       -18      0.4663E-14       0.000    
      0       -19         1         3      1941       -16     -0.8882E-15      0.4001E-02
      1       -19         0         3      2046       -16      0.1332E-14       0.000    
      0       -19         0         5      2166       -14      0.8882E-15       0.000    
      0       -18         0        -6      2191       -24     -0.1038E-12       0.000    
      0       -18         1        -4      2239       -22     -0.6994E-14       0.000    
      1       -18         0        -4      2287       -22      0.4219E-14       0.000    
      0       -18         2        -2      2356       -20      0.6439E-14      0.4000E-02
      1       -18         1        -2      2425       -20      0.2887E-14       0.000    
      2       -18         0        -2      2494       -20      0.3775E-14       0.000    
      0       -18         3         0      2582       -18      0.2220E-15      0.4000E-02
      1       -18         2         0      2670       -18     -0.2998E-14       0.000    
      2       -18         1         0      2758       -18      0.4441E-14       0.000    
      3       -18         0         0      2846       -18      0.2442E-14       0.000    
      0       -18         2         2      2951       -16     -0.2776E-14      0.4000E-02
      1       -18         1         2      3056       -16      0.2665E-14       0.000    
      2       -18         0         2      3161       -16      0.5995E-14       0.000    
