#    n1        m1        n2        m2     count        mJ       sum-1               T
      0        -8         0         0         9        -8      0.2665E-14       0.000    
      0        -7         0        -1        18        -8      0.1110E-14       0.000    
      0        -7         0         1        34        -6      0.1776E-14       0.000    
      0        -6         0        -2        43        -8     -0.5551E-15       0.000    
      0        -6         1         0        59        -6      0.8882E-15       0.000    
      1        -6         0         0        75        -6      0.2442E-14       0.000    
      0        -6         0         2        96        -4      0.1554E-14       0.000    
      0        -5         0        -3       105        -8     -0.1110E-14       0.000    
      0        -5         1        -1       121        -6     -0.7772E-15       0.000    
      1        -5         0        -1       137        -6      0.1110E-14       0.000    
      0        -5         1         1       158        -4      0.2220E-15       0.000    
      1        -5         0         1       179        -4      0.1998E-14       0.000    
      0        -5         0         3       203        -2      0.6661E-15       0.000    
      0        -4         0        -4       212        -8     -0.1998E-14       0.000    
      0        -4         1        -2       228        -6     -0.1665E-14       0.000    
      1        -4         0        -2       244        -6       0.000           0.000    
      0        -4         2         0       265        -4     -0.5551E-15       0.000    
      1        -4         1         0       286        -4      0.4441E-15       0.000    
      2        -4         0         0       307        -4      0.2220E-14       0.000    
      0        -4         1         2       331        -2     -0.4441E-15       0.000    
      1        -4         0         2       355        -2      0.8882E-15       0.000    
      0        -4         0         4       380         0     -0.5551E-15       0.000    
      0        -3         0        -5       389        -8     -0.2442E-14       0.000    
      0        -3         1        -3       405        -6     -0.2220E-14       0.000    
      1        -3         0        -3       421        -6     -0.1110E-14       0.000    
      0        -3         2        -1       442        -4     -0.9992E-15       0.000    
      1        -3         1        -1       463        -4     -0.2220E-15       0.000    
      2        -3         0        -1       484        -4      0.1332E-14       0.000    
      0        -3         2         1       508        -2     -0.3331E-15       0.000    
      1        -3         1         1       532        -2      0.4441E-15       0.000    
      2        -3         0         1       556        -2      0.1332E-14       0.000    
      0        -3         1         3       581         0     -0.1110E-14      0.4000E-02
      1        -3         0         3       606         0       0.000           0.000    
      0        -3         0         5       630         2     -0.2220E-15       0.000    
      0        -2         0        -6       639        -8     -0.1554E-14       0.000    
      0        -2         1        -4       655        -6     -0.1776E-14       0.000    
      1        -2         0        -4       671        -6     -0.1665E-14       0.000    
      0        -2         2        -2       692        -4     -0.1221E-14       0.000    
