#    n1        m1        n2        m2     count        mJ       sum-1               T
      0       -36         0         0        37       -36      0.1865E-13       0.000    
      0       -35         0        -1        74       -36      0.1732E-13       0.000    
      0       -35         0         1       146       -34      0.1954E-13       0.000    
      0       -34         0        -2       183       -36      0.1865E-13      0.4000E-02
      0       -34         1         0       255       -34      0.1954E-13       0.000    
      1       -34         0         0       327       -34      0.1998E-13       0.000    
      0       -34         0         2       432       -32      0.2354E-13      0.4000E-02
      0       -33         0        -3       469       -36      0.4441E-13       0.000    
      0       -33         1        -1       541       -34      0.1465E-13      0.4000E-02
      1       -33         0        -1       613       -34      0.2021E-13       0.000    
      0       -33         1         1       718       -32      0.1621E-13      0.4000E-02
      1       -33         0         1       823       -32      0.2154E-13       0.000    
      0       -33         0         3       959       -30      0.1577E-13       0.000    
      0       -32         0        -4       996       -36      0.5773E-14       0.000    
      0       -32         1        -2      1068       -34      0.1887E-13      0.4001E-02
      1       -32         0        -2      1140       -34      0.1488E-13       0.000    
      0       -32         2         0      1245       -32      0.8660E-14      0.4000E-02
      1       -32         1         0      1350       -32      0.1465E-13       0.000    
      2       -32         0         0      1455       -32      0.2420E-13       0.000    
      0       -32         1         2      1591       -30      0.6439E-14      0.4000E-02
      1       -32         0         2      1727       -30      0.1821E-13       0.000    
      0       -32         0         4      1892       -28      0.1199E-13       0.000    
      0       -31         0        -5      1929       -36     -0.1721E-12       0.000    
      0       -31         1        -3      2001       -34      0.6262E-13      0.4000E-02
      1       -31         0        -3      2073       -34      0.1932E-13       0.000    
      0       -31         2        -1      2178       -32      0.3331E-13      0.4001E-02
      1       -31         1        -1      2283       -32      0.6217E-14       0.000    
      2       -31         0        -1      2388       -32      0.1688E-13      0.4000E-02
      0       -31         2         1      2524       -30      0.1354E-13       0.000    
      1       -31         1         1      2660       -30      0.1066E-13      0.4000E-02
      2       -31         0         1      2796       -30      0.1887E-13       0.000    
      0       -31         1         3      2961       -28      0.1577E-13      0.4000E-02
      1       -31         0         3      3126       -28      0.8438E-14       0.000    
      0       -31         0         5      3318       -26      0.1932E-13       0.000    
      0       -30         0        -6      3355       -36     -0.4627E-12      0.4001E-02
      0       -30         1        -4      3427       -34     -0.8837E-13       0.000    
      1       -30         0        -4      3499       -34      0.6306E-13       0.000    
      0       -30         2        -2      3604       -32     -0.1377E-13      0.4000E-02
      1       -30         1        -2      3709       -32      0.2509E-13      0.4000E-02
      2       -30         0        -2      3814       -32      0.9770E-14      0.4000E-02
      0       -30         3         0      3950       -30      0.1310E-13      0.4001E-02
      1       -30         2         0      4086       -30      0.1754E-13      0.4000E-02
      2       -30         1         0      4222       -30      0.1132E-13       0.000    
      3       -30         0         0      4358       -30      0.1688E-13      0.4000E-02
      0       -30         2         2      4523       -28      0.1488E-13       0.000    
      1       -30         1         2      4688       -28      0.1288E-13      0.4000E-02
      2       -30         0         2      4853       -28      0.1332E-13       0.000    
      0       -30         1         4      5045       -26      0.1665E-13      0.4001E-02
      1       -30         0         4      5237       -26      0.1688E-13       0.000    
      0       -30         0         6      5454       -24      0.1577E-13      0.4000E-02
      0       -29         0        -7      5491       -36      0.6966E-12       0.000    
      0       -29         1        -5      5563       -34      0.5618E-13       0.000    
      1       -29         0        -5      5635       -34     -0.8804E-13      0.4000E-02
      0       -29         2        -3      5740       -32     -0.8094E-13      0.4000E-02
      1       -29         1        -3      5845       -32     -0.5107E-14      0.4001E-02
      2       -29         0        -3      5950       -32      0.3419E-13      0.4000E-02
      0       -29         3        -1      6086       -30     -0.3619E-13      0.4000E-02
      1       -29         2        -1      6222       -30      0.1799E-13      0.4000E-02
      2       -29         1        -1      6358       -30      0.1754E-13      0.8001E-02
      3       -29         0        -1      6494       -30      0.7994E-14       0.000    
      0       -29         3         1      6659       -28      0.3109E-14      0.4000E-02
      1       -29         2         1      6824       -28      0.1066E-13      0.8001E-02
      2       -29         1         1      6989       -28      0.1776E-13      0.4000E-02
      3       -29         0         1      7154       -28      0.9326E-14       0.000    
      0       -29         2         3      7346       -26      0.1998E-14      0.4000E-02
      1       -29         1         3      7538       -26      0.1465E-13      0.4000E-02
      2       -29         0         3      7730       -26      0.1510E-13       0.000    
